url,titles,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,book_series,genre,awards,places,average_rating_flo,minmax_norm_ratings,mean_norm_ratings
https://www.goodreads.com/book/show/25615875-rotter-nation,Rotter Nation,Scott M. Baker,35,12,4.71,367,Not found,Rotter Trilogy #2,"Science Fiction, Fiction, Fantasy",Not found,,4.71,9.478,3.159549999999999
https://www.goodreads.com/book/show/625605.The_Alliance,The Alliance,Gerald N. Lund,4254,625,4.22,330,1983,,"Science Fiction, Young Adult, Science Fiction",Not found,,4.22,8.596,2.277549999999999
https://www.goodreads.com/book/show/11410430-defiance,Defiance,C.J. Redwine,27998,2626,3.67,403,Not found,Defiance #1,"Paranormal, Angels, Fantasy",Not found,Baalboden,3.67,7.606,1.2875499999999989
https://www.goodreads.com/book/show/15575.The_Sword_of_Shannara,Not found,Not found,0,0,Not found,Not found,Not found,No series found,"Science Fiction, Romance, Fiction",Not found,Not found,0.0,1.0,-5.31845
https://www.goodreads.com/book/show/13188615-breaking-point,Breaking Point,Kristen Simmons,10961,697,3.99,400,Not found,Article 5 #2,"Horror, Zombies, Horror",Not found,,3.99,8.182,1.8635499999999996
https://www.goodreads.com/book/show/171125.The_Carpet_Makers,The Carpet Makers,Andreas Eschbach,3698,575,4.17,297,1995,Carpet Makers Universe,"Young Adult, Science Fiction, Science Fiction","Locus Award Nominee for Best SF Novel (2006), Grand Prix de l'Imaginaire for Roman Étranger (2001), Premio Ignotus for Novela extranjera (2005), Deutscher Science Fiction Preis for Bester Roman (1996), Prix Bob Morane for roman traduit (2000)",,4.17,8.506,2.187549999999999
https://www.goodreads.com/book/show/28695.City_of_Golden_Shadow,City of Golden Shadow,Tad Williams,26343,953,3.92,780,1996,Otherland #1,"Fantasy, Young Adult, Science Fiction",Corine Internationaler Buchpreis for Futurepreis (2004),,3.92,8.056000000000001,1.7375499999999988
https://www.goodreads.com/book/show/30071.The_Walking_Dead_Book_One,"The Walking Dead, Book One",Robert Kirkman,36406,1416,4.35,304,2004,The Walking Dead (Hardcover Edition) #1,"Horror, Zombies, Horror",Not found,,4.35,8.829999999999998,2.5115499999999984
https://www.goodreads.com/book/show/3236307-graceling,Graceling,Kristin Cashore,424142,24122,4.07,471,Not found,Graceling Realm #1,"Science Fiction, Fiction, Science Fiction","Locus Award Nominee for Best First Novel (2009), Mythopoeic Fantasy Award for Children's Literature (2009), William C. Morris YA Debut Award Nominee (2009), Rhode Island Teen Book Award (2011), Milwaukee County Teen Book Award Nominee (2010), Sakura Medal Nominee for High School Book (2010), Florida Teens Read Nominee (2010), Amelia Elizabeth Walden Award Nominee (2009), Iowa High School Book Award Nominee (2011), California Young Readers Medal for Young Adult (2012), Lincoln Award Nominee (2011), Andre Norton Award Nominee (2008), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2008), Green Mountain Book Award (2011), Missouri Gateway Readers Award Nominee (2011), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009) ",,4.07,8.326,2.0075499999999993
https://www.goodreads.com/book/show/12287.Endgame,Endgame,Samuel Beckett,18821,862,3.80,60,1957,,"Young Adult, Science Fiction, Dystopia",Obie Nominee for Best Foreign Play (1958),,3.8,7.84,1.5215499999999986
https://www.goodreads.com/book/show/9548075-machine-of-death,Machine of Death: A Collection of Stories About People Who Know How They Will Die,Ryan North,7083,809,3.94,452,Not found,Machine of Death #1,"Science Fiction, Romance, Fantasy",Not found,,3.94,8.092,1.7735499999999988
https://www.goodreads.com/book/show/47916.Obernewtyn,Obernewtyn,Isobelle Carmody,11560,797,3.96,256,1987,The Obernewtyn Chronicles #1,"Young Adult, Science Fiction, Dystopia",Not found,,3.96,8.128,1.8095499999999989
https://www.goodreads.com/book/show/15721624-orleans,Orleans,Sherri L. Smith,3863,761,3.73,324,Not found,,"Science Fiction, Dystopia, Young Adult",Milwaukee County Teen Book Award Nominee (2014),New Orleans - Louisiana,3.73,7.714,1.395549999999999
https://www.goodreads.com/book/show/34457278-the-carnelian-throne,The Carnelian Throne,Janet E. Morris,84,13,4.07,Not found,1979,Silistra #4,"Science Fiction, Fiction, LGBT",Not found,,4.07,8.326,2.0075499999999993
https://www.goodreads.com/book/show/6686092-lies,Not found,Not found,0,0,Not found,Not found,Not found,No series found,"Science Fiction, Fiction, Cultural",Not found,Not found,0.0,1.0,-5.31845
https://www.goodreads.com/book/show/18168902-when-you-were-pixels,When You Were Pixels,Julio Alexi Genao,888,328,4.10,32,Not found,Syntax #0.1,"Fiction, Christianity, Catholic",Not found,,4.1,8.379999999999999,2.0615499999999987
https://www.goodreads.com/book/show/7171637-clockwork-angel,Clockwork Angel,Cassandra Clare,756194,36391,4.31,479,Not found,The Infernal Devices #1,"Science Fiction, Fantasy, Fiction","RITA Award by Romance Writers of America Nominee for Young Adult Romance (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010), The Inky Awards for Silver Inky (2011), Lincoln Award Nominee (2013), Goodreads Choice Award Nominee for Young Adult Fantasy and for Favorite Book and for Goodreads Author (2010), The Inky Awards Shortlist for Silver Inky (2011), Oklahoma Sequoyah Award for High School (2013), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2010) ",London - England,4.31,8.758,2.4395499999999983
https://www.goodreads.com/book/show/10768183-children-of-paranoia,Children of Paranoia,Trevor Shane,679,137,3.67,384,Not found,Children of Paranoia #1,"Science Fiction, Dystopia, Young Adult",Not found,,3.67,7.606,1.2875499999999989
https://www.goodreads.com/book/show/6759.Infinite_Jest,Infinite Jest,David Foster Wallace,81966,9742,4.26,1088,1996,,"Horror, Fiction, Science Fiction","Tähtivaeltaja Award Nominee (2021), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)","Massachusetts,Enfield Tennis Academy,Ennet House,…more,Tucson - Arizona,Massachusetts Institute of Technology (MIT),Boston - Massachusetts,…less",4.26,8.668,2.349549999999999
https://www.goodreads.com/book/show/530270.NOT_A_BOOK,NOT A BOOK,NOT A BOOK,1452,286,2.95,Not found,Not found,,"Fantasy, Science Fiction, Science Fiction",Not found,,2.95,6.3100000000000005,-0.008450000000000513
https://www.goodreads.com/book/show/424779.The_Matrix,The Matrix: The Shooting Script,Lana Wachowski,1238,28,4.25,144,Not found,,"Horror, Zombies, Horror",Not found,,4.25,8.649999999999999,2.331549999999999
https://www.goodreads.com/book/show/31451186-borne,Borne,Jeff VanderMeer,30037,3773,3.93,336,Not found,Borne #1,"Horror, Zombies, Horror","Arthur C. Clarke Award Nominee (2018), Goodreads Choice Award Nominee for Science Fiction (2017)",,3.93,8.074,1.7555499999999995
https://www.goodreads.com/book/show/28464896-hell-divers,Hell Divers,Nicholas Sansbury Smith,10109,1048,3.85,431,Not found,Hell Divers #1,"Mystery, Fiction, Thriller",Not found,,3.85,7.93,1.6115499999999994
https://www.goodreads.com/book/show/76620.Watership_Down,Watership Down,Richard  Adams,455083,15094,4.07,478,1972,Watership Down #1,"Science Fiction, Fiction, Thriller","Mythopoeic Fantasy Award Nominee (1975), Guardian Children's Fiction Prize (1973), Audie Award Nominee for Best Male Narrator (2020), Boston Globe-Horn Book Award (1975), California Young Readers Medal for Young Adult (1977), Carnegie Medal (1972) ","Watership Down - Hampshire,Hampshire - England,England,…more,United Kingdom,…less",4.07,8.326,2.0075499999999993
https://www.goodreads.com/book/show/25843453-the-atlantis-world,The Atlantis World,A.G. Riddle,28461,1269,3.98,304,2014,The Origin Mystery #3,"Science Fiction, Horror, Short Stories",Not found,,3.98,8.164000000000001,1.845549999999999
https://www.goodreads.com/book/show/12444166-iced,Iced,Karen Marie Moning,43966,4586,4.09,512,2012,Fever #6,"Science Fiction, Fiction, Space",Goodreads Choice Award Nominee for Paranormal Fantasy (2012),Dublin,4.09,8.361999999999998,2.043549999999999
https://www.goodreads.com/book/show/135289.A_Wrinkle_in_the_Skin,A Wrinkle in the Skin,John Christopher,682,75,3.84,256,1965,,"Young Adult, Science Fiction, Dystopia",Not found,,3.84,7.912,1.5935499999999987
https://www.goodreads.com/book/show/12924253-once,Once,Anna Carey,19307,1246,3.89,354,Not found,Eve #2,"Science Fiction, Fantasy, Fiction",Not found,"Sausalito - California,Las Vegas - Nevada",3.89,8.002,1.6835499999999994
https://www.goodreads.com/book/show/15850937-frozen,Frozen,Melissa de la Cruz,9128,1404,3.57,325,Not found,Heart of Dread #1,"Fiction, Science Fiction, Thriller",Not found,,3.57,7.426,1.1075499999999987
https://www.goodreads.com/book/show/64338.The_City_of_Gold_and_Lead,The City of Gold and Lead,John Christopher,7638,358,4.07,209,1967,The Tripods #2,"Fiction, Science Fiction, Science Fiction",Not found,,4.07,8.326,2.0075499999999993
https://www.goodreads.com/book/show/639754.Downsiders,Downsiders,Neal Shusterman,4142,401,3.77,256,1999,Downsiders #1,"Science Fiction, Mystery, Fiction",Not found,,3.77,7.786,1.467549999999999
https://www.goodreads.com/book/show/29514.The_Lost_Continent,The Lost Continent,Edgar Rice Burroughs,1882,118,3.67,108,1916,,"Fiction, Science Fiction, Science Fiction",Not found,Europe,3.67,7.606,1.2875499999999989
https://www.goodreads.com/book/show/376650.Dust,Dust,Charles Pellegrino,573,58,3.83,464,1998,,"Science Fiction, Fiction, Apocalyptic",Not found,,3.83,7.894,1.5755499999999993
https://www.goodreads.com/book/show/670572.When_Worlds_Collide,When Worlds Collide,Philip Wylie,2137,179,3.91,382,1932,When Worlds Collide #1,"Science Fiction, Fiction, Thriller",Seiun Award 星雲賞 Nominee for Best Foreign Novel (1999),North America,3.91,8.038,1.7195499999999995
https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,The Fault in Our Stars,John Green,4226203,164328,4.17,313,Not found,,"Young Adult, Science Fiction, Science Fiction","Georgia Peach Book Award (2013), Buxtehuder Bulle (2012), Odyssey Award (2013), Audie Award for Teens (2013), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2013), Teen Buckeye Book Award (2014), Pennsylvania Young Readers' Choice Award for Young Adults (2013), Rhode Island Teen Book Award (2014), Evergreen Teen Book Award (2015), Soaring Eagle Book Award (2014), Milwaukee County Teen Book Award (2013), Indies Choice Book Award for Young Adult (2013), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2013), Amelia Elizabeth Walden Award (2013), Dioraphte Jongerenliteratuurprijs for vertaald boek en publieksprijs (2013), The Inky Awards for Silver Inky (2012), California Young Readers Medal for Young Adult (2015), Lincoln Award (2014), Luisterboek Award (2015), Goodreads Choice Award for Young Adult Fiction (2012) and Nominee for Best of the Best  (2018), Green Mountain Book Award (2014), The Inky Awards Shortlist for Silver Inky (2012), Louisiana Teen Readers' Choice (2015), Missouri Gateway Readers Award (2015), Oklahoma Sequoyah Award for High School (2015), Alabama Author Award for Young Adult (2013), Premio El Templo de las Mil Puertas for Mejor novela extranjera independiente (2012), FAB Award Nominee (2014), Premi Protagonista Jove for Categoria 15-16 anys (2013) ","Indianapolis - Indiana,Amsterdam",4.17,8.506,2.187549999999999
