 titles,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,book_series,genre,awards,places
The Knife of Never Letting Go,Patrick Ness,179818,19204,3.97,512,2008,Chaos Walking #1,"Young Adult, Science Fiction, Dystopia","Guardian Children's Fiction Prize (2008), Manchester Book Award  Nominee for Longlist (2009), Odyssey Award Nominee (2011), James Tiptree Jr. Award (2008), Milwaukee County Teen Book Award Nominee (2010), Dioraphte Jongerenliteratuurprijs Nominee (2014), Carnegie Medal Nominee (2009), Green Mountain Book Award (2012) ",New World
A Clockwork Orange,Anthony Burgess,650264,16124,4.0,213,1962,,"Classics, Fiction, Science Fiction",Prometheus Hall of Fame Award (2008),England
Shatter Me,Tahereh Mafi,406106,38175,3.92,338,Not found,Shatter Me #1,"Young Adult, Science Fiction, Dystopia",Arab American Book Award Nominee for Children's/Young Adult (2013),
Blindness,José Saramago,237101,19332,4.16,326,1995,Blindness #1,"Fiction, Science Fiction, Dystopia","International Dublin Literary Award Nominee (1999), Premio San Clemente Rosalía-Abanca for Novela Estranxeira (1999)",
The Host,Stephenie Meyer,950504,42378,3.85,624,Not found,The Host #1,"Young Adult, Science Fiction, Fantasy",Not found,Arizona
Cat's Cradle,Kurt Vonnegut Jr.,362776,12266,4.16,179,1963,,"Fiction, Classics, Science Fiction",Hugo Award Nominee for Best Novel (1964),"San Lorenzo,Ilium"
A Canticle for Leibowitz,Walter M. Miller Jr.,100268,5314,3.98,334,1959,St. Leibowitz #1,"Science Fiction, Fiction, Apocalyptic","Hugo Award for Best Novel (1961), Locus Award for All-Time Best Novel (1975)",
Gone,Michael  Grant,191013,11367,3.86,560,Not found,Gone #1,"Young Adult, Science Fiction, Dystopia",Missouri Truman Readers Award Nominee (2011),"Perdido Beach - California,California"
The 5th Wave,Rick Yancey,425589,30616,4.02,457,Not found,The 5th Wave #1,"Young Adult, Science Fiction, Science Fiction","Georgia Peach Book Award Nominee for Honor book (2014), South Carolina Book Award for Young Adult (2016), Keystone to Reading Book Award Nominee for High School (2015), Evergreen Teen Book Award (2016), Milwaukee County Teen Book Award Nominee (2014), The Inky Awards Nominee for Silver Inky (2013), Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Best Young Adult Fantasy & Science Fiction (2013), Carnegie Medal Nominee (2014), Green Mountain Book Award Nominee (2015), Louisiana Teen Readers' Choice (2016), Missouri Gateway Readers Award (2016), Oklahoma Sequoyah Award for High School (2016), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2013) ",Ohio
The Children of Men,P.D. James,43206,3381,3.68,241,1992,,"Fiction, Science Fiction, Science Fiction",Not found,England
Neuromancer,William Gibson,287962,11213,3.9,292,1984,Sprawl #1,"Science Fiction, Fiction, Science Fiction","Hugo Award for Best Novel (1985), Nebula Award for Best Novel (1984), Locus Award Nominee for Best First Novel and Best SF Novel (1985), British Science Fiction Association Award Nominee for Best Novel (1984), Philip K. Dick Award (1985), John W. Campbell Memorial Award Nominee (1985), Ditmar Award for Best International Long Fiction (1985), SF Chronicle Award for Novel (1985), Tähtivaeltaja Award (1992), Prix Aurora Award Nominee (1985), Seiun Award 星雲賞 for Best Translated Long Story (1987) ","Chiba - Tokyo,New York City - New York,Istanbul"
Snow Crash,Neal Stephenson,252796,10245,4.03,438,1992,,"Science Fiction, Fiction, Science Fiction","Arthur C. Clarke Award Nominee (1994), British Science Fiction Association Award Nominee (1993), Grand Prix de l'Imaginaire for Roman étranger (1997), Prometheus Award Nominee for Best Novel (1993), Washington State Book Award (1993), Seiun Award 星雲賞 Nominee for Best Foreign Novel (1999) ",The United States of America
Atlas Shrugged,Ayn Rand,370412,18527,3.69,1078,1957,,"Fiction, Classics, Philosophy","Prometheus Hall of Fame Award (1983), National Book Award Finalist for Fiction (1958)",Not found
Wither,Lauren DeStefano,100150,8160,3.8,358,Not found,The Chemical Garden #1,"Young Adult, Science Fiction, Dystopia","Rhode Island Teen Book Award Nominee (2013), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2011)",Florida
The Long Walk,Richard Bachman,148915,8860,4.09,370,1979,,"Horror, Fiction, Science Fiction",Not found,Maine
Angelfall,Susan Ee,182375,16609,4.11,288,2011,Penryn & the End of Days #1,"Fantasy, Young Adult, Paranormal",CYBILS Award Nominee for Fantasy & Science Fiction (Young Adult) (2011),San Francisco - California
The House of the Scorpion,Nancy Farmer,88274,6716,4.06,380,2002,Matteo Alacran #1,"Young Adult, Science Fiction, Science Fiction","Newbery Medal Nominee (2003), National Book Award for Young People's Literature (2002), Mythopoeic Fantasy Award Nominee for Children's Literature (2003), Buxtehuder Bulle (2003), Michael L. Printz Award Nominee (2003), South Carolina Book Award for Junior Book Award (2006), Grand Canyon Reader Award for Teen Book (2005), Rhode Island Teen Book Award (2004), Vermont Golden Dome Book Award Nominee (2004), Pacific Northwest Library Association Young Reader's Choice Award for Senior (2005), Michigan Library Association Thumbs Up! Award Nominee (2003), Lincoln Award Nominee (2008), Missouri Gateway Readers Award Nominee (2005), Oklahoma Sequoyah Award for YA (2005) ",Not found
The Day of the Triffids,John Wyndham,97005,3989,4.02,228,1951,Triffids #1,"Science Fiction, Fiction, Classics",International Fantasy Award Nominee for Fiction (1952),"London - England,United Kingdom"
The Trial,Franz Kafka,264940,9422,3.96,255,1925,,"Classics, Fiction, Literature",Helen and Kurt Wolff Translator's Prize Nominee for Breon Mitchell (1999),Not found
Across the Universe,Beth Revis,117754,10430,3.77,399,Not found,Across the Universe #1,"Young Adult, Science Fiction, Science Fiction","Rhode Island Teen Book Award Nominee (2013), Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2011), Carnegie Medal Nominee (2012)","Godspeed,The United States of America,Earth,…more,Outer Space,…less"
The Dispossessed,Ursula K. Le Guin,101979,7042,4.22,387,1974,Hainish Cycle,"Science Fiction, Fiction, Fantasy","Hugo Award for Best Novel (1975), Nebula Award for Best Novel (1974), Prometheus Hall of Fame Award (1993), Locus Award for Best Novel (1975), Jupiter Award for Best Novel (1975), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1975), Ditmar Award Nominee for Best International Long Fiction (1975), Premi Ictineu for Millor novel·la traduïda (2019) ",Not found
Parable of the Sower,Octavia E. Butler,102835,10632,4.19,345,1993,Earthseed #1,"Fiction, Science Fiction, Science Fiction","Nebula Award Nominee for Best Novel (1994), Locus Award Nominee for Best SF Novel (1995)",California
The Forest of Hands and Teeth,Carrie Ryan,84682,8873,3.6,310,2009,The Forest of Hands and Teeth #1,"Young Adult, Horror, Zombies","Georgia Peach Book Award Nominee for Honor book (2010), Goodreads Choice Award Nominee for Young Adult Series (2009)",Not found
The Man in the High Castle,Philip K. Dick,188446,12835,3.61,259,1962,,"Science Fiction, Fiction, Science Fiction","Hugo Award for Best Novel (1963), Tähtivaeltaja Award (1993)","San Francisco - California,California"
