Birthmarked,Caragh M. O'Brien,48661,3648,3.88,361,Not found,Birthmarked #1,"Young Adult, Science Fiction, Dystopia","Georgia Peach Book Award Nominee (2011), Rhode Island Teen Book Award Nominee (2012), Beehive Book Award Nominee (2012), Arkansas Teen Book Award Nominee (2012), CYBILS Award Nominee (2010)",Not found
Lucifer's Hammer,Larry Niven,41977,1504,3.99,629,1977,,"Science Fiction, Fiction, Apocalyptic",Hugo Award Nominee for Best Novel (1977),California
Earth Abides,George R. Stewart,27235,2208,3.95,345,1949,,"Science Fiction, Fiction, Apocalyptic",International Fantasy Award for Fiction (1951),The United States of America
Cloud Atlas,David Mitchell,232723,20429,4,509,2004,,"Fiction, Science Fiction, Fantasy","Booker Prize Nominee (2004), Nebula Award Nominee for Best Novel (2004), Locus Award Nominee for Best SF Novel (2005), Arthur C. Clarke Award Nominee (2005), James Tait Black Memorial Prize Nominee for Fiction (2004), British Book Award for Best Read of the Year (2005), National Book Critics Circle Award Nominee for Fiction (2004), Geoffrey Faber Memorial Prize (2005), Tähtivaeltaja Award Nominee (2009), The Rooster -- The Morning News Tournament of Books (2005) ","Chatham Islands,Neerbeke - West Vlaanderen,Buenas Yerbas,…more,London - England,Seoul - South Korea,Maui - Hawaii,…less"
Logan's Run,William F. Nolan,10823,695,3.66,149,1967,Logan #1,"Science Fiction, Science Fiction, Dystopia",Not found,"Los Angeles - California,South Dakota"
Stranger in a Strange Land,Robert A. Heinlein,291797,8743,3.92,525,1961,,"Science Fiction, Fiction, Classics","Hugo Award for Best Novel (1962), Prometheus Hall of Fame Award (1987)",Not found
The V Girl: a Coming of Age Story,Mya Robarts,13984,1521,4.01,340,Not found,,"Romance, Young Adult, Coming Of Age",Not found,Starville
Player Piano,Kurt Vonnegut Jr.,50006,2214,3.88,341,1952,,"Fiction, Science Fiction, Classics",International Fantasy Award Nominee for Fiction (1953),Ilium
The Girl with All the Gifts,M.R. Carey,204958,21027,3.94,461,2014,The Girl With All the Gifts #1,"Horror, Fiction, Science Fiction","Arthur C. Clarke Award Nominee (2015), Audie Award for Paranormal (2015), British Fantasy Award Nominee for August Derleth Award (best horror novel) (2015), Tähtivaeltaja Award Nominee (2017), Goodreads Choice Award Nominee for Horror (2014), James Herbert Award Nominee (2015) ",London - England
The Gate to Women's Country,Sheri S. Tepper,12688,813,4.06,315,1987,,"Science Fiction, Fiction, Fantasy","Locus Award for Best Fantasy Novel (1992), Arthur C. Clarke Award Nominee (1998)",Marthatown
Feed,Mira Grant,55309,6533,3.86,599,2010,Newsflesh #1,"Horror, Horror, Zombies","Hugo Award Nominee for Best Novel (2011), Locus Award Nominee for Best SF Novel (2011), Shirley Jackson Award Nominee for Novel (Finalist) (2010), Goodreads Choice Award for Science Fiction (2010)",Not found
Ship Breaker,Paolo Bacigalupi,44259,4534,3.74,326,Not found,Ship Breaker #1,"Young Adult, Science Fiction, Science Fiction","Locus Award for Best Young Adult Book (2011), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (2013), Golden Duck Award Nominee for Young Adult (Hal Clement Award) (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010), Michael L. Printz Award (2011), Rhode Island Teen Book Award Nominee (2012), Lincoln Award Nominee (2013), Andre Norton Award Nominee (2010), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2010), National Book Award Finalist for Young People's Literature (2010), Missouri Gateway Readers Award Nominee (2013) ",New Orleans - Louisiana
Coilhunter,Dean F. Wilson,947,131,4.13,210,2017,The Coilhunter Chronicles #1,"Science Fiction, Science Fiction, Steampunk",Not found,Not found
